instance,band,scaling,sample_type,sample_index,min_energy,max_energy,slope,intercept
0,0,variance,subsample,84.0,-75.72472560378105,-75.69448023119612,-0.38317390804178275,-75.70270814610782
0,0,variance,subsample,85.0,-75.72472560378105,-75.68773771283301,0.027111619084692316,-75.70324098669019
0,0,variance,subsample,86.0,-75.72472560378105,-75.68032538857084,0.828632407763272,-75.716533680383
0,0,variance,subsample,87.0,-75.71064033764262,-75.68032538857084,0.1971236645992263,-75.70426407923314
0,0,variance,subsample,88.0,-75.72472560378105,-75.68032538857084,0.7088194428462692,-75.71958493599313
0,0,variance,subsample,89.0,-75.72232198481616,-75.68032538857084,0.35441427074929494,-75.70958319761941
0,0,variance,subsample,90.0,-75.72472560378105,-75.69203029710116,0.6715348307619731,-75.71527770578679
0,0,variance,subsample,91.0,-75.71968309929453,-75.68032538857084,0.3607557131445079,-75.71188977141138
0,0,variance,subsample,92.0,-75.72472560378105,-75.69203029710116,0.23155762144834244,-75.70965971341677
0,0,variance,subsample,93.0,-75.71968309929453,-75.68773771283301,-0.012980645662565833,-75.70453254144432
0,0,variance,subsample,94.0,-75.72472560378105,-75.69436029704306,-0.47626374608689837,-75.69827389340955
0,0,variance,subsample,95.0,-75.71064033764262,-75.68032538857084,0.45372268569926016,-75.71002677944368
0,0,variance,subsample,96.0,-75.71968309929453,-75.68032538857084,0.2813655483388204,-75.70661842527939
0,0,variance,subsample,97.0,-75.72472560378105,-75.68773771283301,0.11332478741510436,-75.70499856032777
0,0,variance,subsample,98.0,-75.71064033764262,-75.68773771283301,-0.2639952221380502,-75.69402831971458
0,0,variance,subsample,99.0,-75.71064033764262,-75.68032538857084,0.08627700623898846,-75.69988658810045
0,0,inverse_num_params,global,,-75.72472560378105,-75.68032538857084,-261.3423298041261,-75.69138562749563
0,0,inverse_num_params,subsample,0.0,-75.72472560378105,-75.68773771283301,-68.7491927892679,-75.70166957119098
0,0,inverse_num_params,subsample,1.0,-75.72472560378105,-75.68032538857084,-601.9039110897302,-75.67833417900047
0,0,inverse_num_params,subsample,2.0,-75.72472560378105,-75.68773771283301,-642.773998025637,-75.67777918787031
0,0,inverse_num_params,subsample,3.0,-75.72232198481616,-75.68032538857084,-366.9116485294984,-75.68640242594853
0,0,inverse_num_params,subsample,4.0,-75.72472560378105,-75.68773771283301,-160.97568422191915,-75.69457366028062
0,0,inverse_num_params,subsample,5.0,-75.72472560378105,-75.68773771283301,-16.30868822167664,-75.70453137740397
0,0,inverse_num_params,subsample,6.0,-75.72472560378105,-75.69436029704306,-214.85253654852087,-75.69463755955054
0,0,inverse_num_params,subsample,7.0,-75.71968309929453,-75.68773771283301,-393.24679685731957,-75.68783719979758
0,0,inverse_num_params,subsample,8.0,-75.72472560378105,-75.68032538857084,-651.3270056843984,-75.67713178021116
0,0,inverse_num_params,subsample,9.0,-75.72232198481616,-75.69203029710116,124.88814918815076,-75.71168273701974
0,0,inverse_num_params,subsample,10.0,-75.72472560378105,-75.69319604031449,188.98225029844278,-75.71177320664786
0,0,inverse_num_params,subsample,11.0,-75.71064033764262,-75.68032538857084,-115.61852492330306,-75.69526644977155
0,0,inverse_num_params,subsample,12.0,-75.71968309929453,-75.68032538857084,-228.04511589287117,-75.69254786067607
0,0,inverse_num_params,subsample,13.0,-75.72232198481616,-75.69203029710116,89.60604290427294,-75.70816588252764
0,0,inverse_num_params,subsample,14.0,-75.72472560378105,-75.68032538857084,-333.00575262861395,-75.68526388481908
0,0,inverse_num_params,subsample,15.0,-75.72472560378105,-75.68773771283301,-674.2951873081284,-75.68020689439498
0,0,inverse_num_params,subsample,16.0,-75.72232198481616,-75.68773771283301,-699.9556987481309,-75.67538758120273
0,0,inverse_num_params,subsample,17.0,-75.71968309929453,-75.68773771283301,-8.56376666764981,-75.70301924821771
0,0,inverse_num_params,subsample,18.0,-75.72232198481616,-75.69319604031449,-609.4877410616477,-75.67984724941779
0,0,inverse_num_params,subsample,19.0,-75.72472560378105,-75.69436029704306,-337.4086691625005,-75.69161784056088
0,0,inverse_num_params,subsample,20.0,-75.72472560378105,-75.68032538857084,-128.89903813017654,-75.69194584316963
0,0,inverse_num_params,subsample,21.0,-75.70996698362828,-75.68032538857084,10.367389945295603,-75.69934732196612
0,0,inverse_num_params,subsample,22.0,-75.72472560378105,-75.68773771283301,40.50810786383383,-75.70411518723877
0,0,inverse_num_params,subsample,23.0,-75.72232198481616,-75.69436029704306,-109.3204801500734,-75.69870419541208
